,platformId,platform,date,updated,type,description,postUrl,subscriberCount,score,media,likeAndViewCountsDisabled,languageCode,legacyId,id,statistics.actual.favoriteCount,statistics.actual.commentCount,statistics.expected.favoriteCount,statistics.expected.commentCount,account.id,account.name,account.handle,account.profileImage,account.subscriberCount,account.url,account.platform,account.platformId,account.verified,imageText,expandedLinks,translated_description,translated_imageText,description_cluster,Image_path,image_ocr,translated_image_ocr,accountHandle,party,Alignation
2,3.380885158e+29,Instagram,2024-06-01 14:42:19,2024-06-02 03:32:58,photo,"वाराणसी (उत्तरप्रदेश) में स्थित श्री काशी विश्वनाथ मन्दिर में अपने बच्चों के साथ विधिवत् पूजा अर्चना की और समस्त देशवासियों के सुख, समृद्धि एवं आरोग्य जीवन की कामना की।",https://www.instagram.com/p/C7rUSNgvQBK/,27229,17.0,"[{'type': 'photo', 'url': 'https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/446976826_844631947718897_5754582289033585406_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=18de74&_nc_ohc=6fY2KhV_M5gQ7kNvgFFiDkt&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYBt528hDQ9POJbl7i5c-7PZ0CALIiu4UmZ70c0HO_HXUQ&oe=6661485E', 'height': 960, 'width': 1280}]",False,en,0,8063813|3380885157660393546,1141,15,65,3,8063813,Veena Devi,iveenadevi,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-19/299840913_1249254679155335_1284598036435125072_n.jpg?stp=dst-jpg_s150x150&_nc_cat=103&ccb=1-7&_nc_sid=3fd06f&_nc_ohc=c_tJ1XY4bIkQ7kNvgHhue5I&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYD30_l7ehYRzihpSnBcQPXVoZ8IDDw-vfwOiIx1C4QG9w&oe=6661AC73,27300,https://www.instagram.com/iveenadevi/,Instagram,12906038168,True,‎'‎श्री काशीविशवनाय काशी विश्वनाय मनिदिर मनिदिरन्यास न्यास दिान नआापकाअभिकारीनषी आपका अधिकार नही राष्ट्रीय राष्ट्रीयकर्तचयभीहे कतच्य कर्तच्यभी ीहै मतदान अवश्य तदानअवश्य करें iaa כי प्रसाद বਾर CDE H ae मही शसादम a सलটेসর‎'‎,,he duly worshiped with his children at shri kashi vishwanath temple located in varanasi uttar pradesh and wished for the happiness prosperity and health life of all the countrymen,"'Shri Kashiwishvanay Kashi Vishidir Manidir Manidirnasa Din Daini Daapan Daapakarinishi is not your right, not the national national work is also done, and also to do the voting.",158,['../images\\image_2_0.jpg'],,,iveenadevi,LJSP,Left
50,3.379940389e+28,Instagram,2024-05-31 07:25:14,2024-06-02 00:35:57,album,प्रभु श्री राम के दरबार में आतिथ्य सत्कार पाकर अभिभूत हूं ।,https://www.instagram.com/p/C7n9eBFtTfA/,1046381,2.0805015835,"[{'type': 'photo', 'url': 'https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/436586075_1140034350598950_1096527792195366331_n.heic?stp=dst-jpg&_nc_cat=1&ccb=1-7&_nc_sid=18de74&_nc_ohc=D6q1K5oA8hkQ7kNvgFKFYqW&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYACuHHHphY4GMzlHBVEQDok-9lq22LET1ScOrdWGfnfsw&oe=6660AC27', 'height': 960, 'width': 1439}]",False,hi,0,8063839|3379940388955830208,48362,251,23212,154,8063839,Chirag Paswan,ichiragpaswan,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-19/381267994_1471944610252765_4549254365658642136_n.jpg?stp=dst-jpg_s150x150&_nc_cat=1&ccb=1-7&_nc_sid=3fd06f&_nc_ohc=4AHsPfYar5AQ7kNvgFboKvH&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYC2wln5Y2h5missAlx05VZZDaP8sbG4gyMDnw9lzB8N_Q&oe=666179E1,1066763,https://www.instagram.com/ichiragpaswan/,Instagram,9651287768,False,,,i am overwhelmed by getting hospitality in the court of lord shri ram,,144,['../images\\image_50_0.jpg'],,,ichiragpaswan,LJSP,Left
52,3.379927855e+28,Instagram,2024-05-31 07:00:20,2024-06-02 00:35:57,album,"जय श्री राम!

आज अयोध्या की पावन नगरी में सपरिवार प्रभु श्री राम के दिव्य स्वरूप के दर्शन कर समस्त देशवासियों के कल्याण हेतु मंगलकामना की।

#jaishriram #ayodhyadham",https://www.instagram.com/p/C7n6noRNv0f/,1034583,6.2113755029,"[{'type': 'photo', 'url': 'https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/447220090_2187329714936024_4026638773317458818_n.heic?stp=dst-jpg&_nc_cat=1&ccb=1-7&_nc_sid=18de74&_nc_ohc=AeO6XWrR_-cQ7kNvgFv7M8S&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYAlM89WkgujVk7FtwNtJTVGMh679WTPWYGFGKJhOv1POg&oe=6660A0EB', 'height': 1200, 'width': 960}]",False,hi,0,8063839|3379927855360572703,144409,726,23212,154,8063839,Chirag Paswan,ichiragpaswan,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-19/381267994_1471944610252765_4549254365658642136_n.jpg?stp=dst-jpg_s150x150&_nc_cat=1&ccb=1-7&_nc_sid=3fd06f&_nc_ohc=4AHsPfYar5AQ7kNvgFboKvH&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYC2wln5Y2h5missAlx05VZZDaP8sbG4gyMDnw9lzB8N_Q&oe=666179E1,1066763,https://www.instagram.com/ichiragpaswan/,Instagram,9651287768,False,,,"jai shri ram

today in the holy city of ayodhya i saw the divine form of lord sri rama with his family and wished all the people of the country a happy welfare

jaishriram ayodhyadham",,-1,['../images\\image_52_0.jpg'],,,ichiragpaswan,LJSP,Left
84,3.3792757269999997e+28,Instagram,2024-05-30 09:24:40,2024-06-02 00:35:57,photo,"आज मैं काशी विश्वनाथ की पावन नगरी के समस्त मतदाताओं से आग्रह करता हूं की वाराणसी लोकसभा क्षेत्र से एनडीए प्रत्याशी एवं विश्वपटल पर देश का नाम रौशन करने वाले आदरणीय श्री @narendramodi जी को आगामी 1 जून को अपना वोट देकर प्रधानमंत्री जी की ऐतिहासिक जीत में अपना बहुमूल्य योगदान दें।प्रधानमंत्री जी को दिया गया एक-एक वोट विकसित भारत के संकल्प को पूरा करेगा। प्रधानमंत्री जी के संकल्प को पूरा करने के लिए जरूरी है आप सबको अधिक से अधिक मतदान करना। आप जितना अधिक मतदान करेंगे प्रधानमंत्री जी के साथ देश भी उतना ही सशक्त और मजबूत होगा।

#vote4Modi #modiagain",https://www.instagram.com/p/C7lmV6IPLjo/,1034583,2.6813526399,"[{'type': 'photo', 'url': 'https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/446961083_469245985610013_8889346017179050958_n.heic?stp=dst-jpg&_nc_cat=103&ccb=1-7&_nc_sid=18de74&_nc_ohc=-cygVtKmbRgQ7kNvgEun96-&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYDJsMUYOYuI-4E9pO4pLyZaW4AzGYtHiBrmjJqrauqQxg&oe=6660D1CE', 'height': 1439, 'width': 1439}]",False,hi,0,8063839|3379275726703081704,30051,318,11205,121,8063839,Chirag Paswan,ichiragpaswan,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-19/381267994_1471944610252765_4549254365658642136_n.jpg?stp=dst-jpg_s150x150&_nc_cat=1&ccb=1-7&_nc_sid=3fd06f&_nc_ohc=4AHsPfYar5AQ7kNvgFboKvH&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYC2wln5Y2h5missAlx05VZZDaP8sbG4gyMDnw9lzB8N_Q&oe=666179E1,1066763,https://www.instagram.com/ichiragpaswan/,Instagram,9651287768,False,,,"today i urge all the voters of the holy city of kashi vishwanath to give their vote on the nda candidate from varanasi lok sabha constituency and the name of the country on the worldmake a valuable contribution every vote given to the prime minister will fulfill the resolution of indiato fulfill the prime ministers resolve it is necessary to vote as much as you allthe more you vote the stronger the country with the prime minister will be as strong and strong

vote4modi modigain",,-1,['../images\\image_84_0.jpg'],"He युवा बिहारी चिराग पासवान &

*, ¥ @iChiragPaswan

आज मैं काशी विश्वनाथ की पावन नगरी के समस्त
मतदाताओं से आग्रह करता हूं की वाराणसी लोकसभा
क्षेत्र से एनडीए प्रत्याशी एवं विश्वपटल पर देश का नाम
रौशन करने वाले आदरणीय श्री @narendramodi जी
को आगामी | जून को अपना वोट देकर प्रधानमंत्री जी की
ऐतिहासिक जीत में अपना बहुमूल्य योगदान दें।प्रधानमंत्री
जी को दिया गया एक-एक वोट विकसित भारत के संकल्प
को पूरा करेगा। प्रधानमंत्री जी के संकल्प को पूरा करने

के लिए जरूरी है आप सबको अधिक से अधिक मतदान
करना। आप जितना अधिक मतदान करेंगे प्रधानमंत्री जी
के साथ देश भी उतना ही सशक्त और मजबूत होगा।

Hvote4Mod| Hmodlagain
","He young Bihari Chirag Paswan &

*, ¥ @iChiragPaswan

Today I am in the presence of all the people of the holy city of Kashi Vishwanath.
I urge the voters to vote for Varanasi Lok Sabha.
NDA candidates from the region and the country's name on the world stage
Respected Shri @narendramodi ji who illuminates.
upcoming on Prime Minister by casting his vote on June
Make your valuable contribution to the historic victory.Prime Minister
Every vote given to Ji was a pledge of developed India.
will complete. To fulfill the Prime Minister's resolution

It is important for all of you to vote as much as possible.
to do. The more you vote Prime Minister
With this the country will also become equally powerful and strong.

Hvote4Mod| Hmodlagain",ichiragpaswan,LJSP,Left
91,3.378786509e+29,Instagram,2024-05-29 17:12:41,2024-06-02 04:47:37,album,"घोसी लोकसभा में सपा प्रत्याशी श्री राजीव राय जी के समर्थन में जनता से वोट अपील की।

परिवर्तन की ओर बढ़ रहा देश।",https://www.instagram.com/p/C7j3G29Bi_N/,364434,1.1781515645,"[{'type': 'photo', 'url': 'https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/446800062_1912248962556726_2658811439581961445_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=18de74&_nc_ohc=8getPQz9heYQ7kNvgE-P6Rq&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYAkVBSO4gN8TsEfohNoboDhPfZHRB05F_vXhVoX41AqvQ&oe=6660A7F1', 'height': 710, 'width': 1065}]",False,hi,0,11320052|3378786509338849229,19409,133,16445,142,11320052,Dimple Yadav,socialist_dimpleyadav,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-19/57257158_401498690694702_7734465217890877440_n.jpg?stp=dst-jpg_s150x150&_nc_cat=106&ccb=1-7&_nc_sid=3fd06f&_nc_ohc=CiOW75GFAY4Q7kNvgHUa2v-&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYD-o1gYkrCdeumfI16HcdD4jt3Scg00jLX5WnBXycmlcA&oe=6661E32D,368258,https://www.instagram.com/socialist_dimpleyadav/,Instagram,13046533735,True,,,"in ghosi lok sabha votes appealed to the public in support of sp candidate shri rajiv rai ji

country moving towards change",,-1,['../images\\image_91_0.jpg'],"हट

",move away,socialist_dimpleyadav,SP,Left
96,3.3787601919999995e+29,Instagram,2024-05-29 16:20:23,2024-06-02 04:47:37,album,"कुशीनगर की पावन धरती पर सपा प्रत्याशी श्री अजय प्रताप सिंह उर्फ पिंटू सैंथवार जी के समर्थन में रोड शो कर जनता से वोट अपील की।

सूर्योदय की ओर बढ़ रहा देश।",https://www.instagram.com/p/C7jxH4-PLl5/,364434,2.1058640684,"[{'type': 'photo', 'url': 'https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/446944614_275995222274824_6999421884011385296_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=18de74&_nc_ohc=HHm14vvH7EcQ7kNvgF23klN&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYB72VIg4L5yfDpmOVdsQQvWA2UIICyYPjvM0U5MZFsljQ&oe=66607AA8', 'height': 405, 'width': 720}]",False,hi,0,11320052|3378760191947094393,34996,233,16587,142,11320052,Dimple Yadav,socialist_dimpleyadav,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-19/57257158_401498690694702_7734465217890877440_n.jpg?stp=dst-jpg_s150x150&_nc_cat=106&ccb=1-7&_nc_sid=3fd06f&_nc_ohc=CiOW75GFAY4Q7kNvgHUa2v-&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYD-o1gYkrCdeumfI16HcdD4jt3Scg00jLX5WnBXycmlcA&oe=6661E32D,368258,https://www.instagram.com/socialist_dimpleyadav/,Instagram,13046533735,True,,,"on the auspicious land of kushinagar sp candidate mr ajay pratap singh alias pintu santwar ji appealed to the public by doing a road show in support of ji

the country moving towards sunrise",,-1,['../images\\image_96_0.jpg'],,,socialist_dimpleyadav,SP,Left
97,3.3787355869999997e+28,Instagram,2024-05-29 15:31:30,2024-06-02 03:08:35,photo,"नफरत की राजनीति खतम करने के लिए @rahulgandhi ने कन्याकुमारी से भारत जोड़ो यात्रा शुरु की थी। @narendramodi ने घोषणा की है की वो भी अपना झोला ले कर कन्याकुमारी में ध्यान लगाने जा रहे है। जहां से मोहब्बत और भाईचारे का सफर शुरू हुआ, ठीक उसी जगह नफरत की राजनीति का अंत होने जा रहा है।",https://www.instagram.com/p/C7jrh2SJG1A/,69328,-1.135954136,"[{'type': 'photo', 'url': 'https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/446632589_461766883054401_7399600113339097765_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=18de74&_nc_ohc=cAp6smubASYQ7kNvgEozI4c&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYCIq4lgKRA-SJ_5DIk2Y2lvXt8bYHhptbUoY4mDlfEpFw&oe=6661A052', 'height': 1261, 'width': 1290}]",False,hi,0,8063842|3378735587487149376,1213,8,1376,11,8063842,Kunwar Danish Ali,kunwar_danish_ali,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-19/67374043_715661608871111_2284086225310580736_n.jpg?stp=dst-jpg_s150x150&_nc_cat=106&ccb=1-7&_nc_sid=3fd06f&_nc_ohc=J7qA1ahOp2AQ7kNvgGkRpxV&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYDG3iQCRU1ASCQhdqkqGKrVGwJcX0teUIrN5eJyHsPryg&oe=6661A7B6,69762,https://www.instagram.com/kunwar_danish_ali/,Instagram,8226772827,True,"Post Kunwar Danish KunwarDanishAli Ali @KDanishAli नफरत की राजनीति खतम करने के लिए @RahulGandhi ने कन्याकुमारी से भारत जोड़ो यात्रा शुरु की थी| @narendramodi ने घोषणा की है की वो भी अपना झोला ले कर कन्याकुमारी में ध्यान लगाने जा रहे है जहां से मोहब्बत और भाईचारे का सफर शुरू हुआ, ठीक उसी जगह नफरत की राजनीति का अंत होने जा रहा है| Translate post 5:10PM 29/05/24FromEarth 9/05/24 From Earth 510M-29/05/24From.Eath.2.3KV 2.3K 2.3KViews Views lViewanalytics analytics",,to finish the politics of hate rahulgandhi started the journey of india from kanyakumarinarendramodi has announced that he is also going to take care of kanyakumari by taking his bagfrom where the journey of love and brotherhood started the politics of hate is going to end at the same place,"Post Kunwar Danish Kunwardanishali Ali @Kdanishali started to finish the politics of hate.@Narendramodi has announced that he is also going to take care of his bag and meditate in Kanyakumari from where the journey of love and brotherhood started, right in the same place, the politics of hatred is going to end.Translate post 5:10 pm 29/05/24fromertth 9/05/24 from Earth 510m-29/05/24from.eath.eath.2.3kv 2.3k 2.3k 2.3k2.3k2.3k 2.3kviews Views Views LVIWENALYTICS Analytics",-1,['../images\\image_97_0.jpg'],"< Post

Kunwar Danish Ali @
श्र @KDanishAli

नफरत की राजनीति खतम करने के लिए @RahulGandhi ने
कन्याकुमारी से भारत जोड़ो यात्रा शुरु की थी।

@narendramodi 4 घोषणा की है की वो भी अपना झोला ले कर
PUPA में A लगाने जा रहे है। जहां से मोहब्बत और
भाईचारे का सफर शुरू हुआ, ठीक उसी जगह नफरत की राजनीति
का अंत होने जा रहा है।

Translate post

5:0 PM - 29/05/24 From Earth - 2.3K Views

ili View analytics
","< Post

Kunwar Danish Ali @
Mr. @KDanishAli

@RahulGandhi to end the politics of hatred
India Jodo Yatra was started from Kanyakumari.

@narendramodi 4 has announced that he will also carry his bag
Going to put A in PUPA. from where love and
The journey of brotherhood began, politics of hatred started at the same place
is coming to an end.

Translate post

5:0 PM - 29/05/24 From Earth - 2.3K Views

ili View analytics",kunwar_danish_ali,BSP,Left
99,3.37873483e+28,Instagram,2024-05-29 15:30:00,2024-06-02 03:08:35,photo,,https://www.instagram.com/p/C7jrW0gJKqr/,69328,5.8954578226,"[{'type': 'photo', 'url': 'https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/446625086_1599736427544400_7881913880190873803_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=18de74&_nc_ohc=4f-6a4Sba14Q7kNvgGPch-L&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYC4xWYtw81uDO4u0TnBZ7a6qNTI2ozS4v2-qS__a-ScPg&oe=66619E80', 'height': 1800, 'width': 1440}]",False,en,0,8063842|3378734829660318379,8152,25,1376,11,8063842,Kunwar Danish Ali,kunwar_danish_ali,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-19/67374043_715661608871111_2284086225310580736_n.jpg?stp=dst-jpg_s150x150&_nc_cat=106&ccb=1-7&_nc_sid=3fd06f&_nc_ohc=J7qA1ahOp2AQ7kNvgGkRpxV&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYDG3iQCRU1ASCQhdqkqGKrVGwJcX0teUIrN5eJyHsPryg&oe=6661A7B6,69762,https://www.instagram.com/kunwar_danish_ali/,Instagram,8226772827,True,,,,,5,['../images\\image_99_0.jpg'],,,kunwar_danish_ali,BSP,Left
106,3.378648993e+29,Instagram,2024-05-29 12:39:27,2024-06-02 03:32:58,album,वैशाली लोकसभा क्षेत्र अंतर्गत बरूराज विधानसभा के नरियार गांव में श्री सुमित श्रीवास्तव जी के यहां श्राद्ध कर्म में शामिल हुई।,https://www.instagram.com/p/C7jX1udstPY/,26939,4.6026785714,"[{'type': 'photo', 'url': 'https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/446598836_361381239865445_5513599235872033570_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=18de74&_nc_ohc=xkk0UD7FkZYQ7kNvgHymCpS&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYDb26zr0ZVMBeMUl23rQrz47HAZjLWwm7VZlmyCthdfIQ&oe=6660DEBD', 'height': 720, 'width': 960}]",False,hi,0,8063813|3378648992550409176,1029,2,221,3,8063813,Veena Devi,iveenadevi,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-19/299840913_1249254679155335_1284598036435125072_n.jpg?stp=dst-jpg_s150x150&_nc_cat=103&ccb=1-7&_nc_sid=3fd06f&_nc_ohc=c_tJ1XY4bIkQ7kNvgHhue5I&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYD30_l7ehYRzihpSnBcQPXVoZ8IDDw-vfwOiIx1C4QG9w&oe=6661AC73,27300,https://www.instagram.com/iveenadevi/,Instagram,12906038168,True,,,in narayar village of baruraj assembly under vaishali lok sabha constituency shri sumit srivastava ji joined shraddha karma,,168,['../images\\image_106_0.jpg'],,,iveenadevi,LJSP,Left
113,3.3784730669999996e+29,Instagram,2024-05-29 06:49:55,2024-06-02 03:32:58,album,वैशाली लोकसभा क्षेत्र अंतर्गत बरूराज विधानसभा के विशनपुरा गांव में भाजपा के बूथ अध्यक्ष श्री संतोष दूबे जी को कल अपराधियों द्वारा चाकू मारकर घायल कर दिया था। आज एसकेएमसीएच जाकर उनका कुशल क्षेम जानी और संबंधित पदाधिकारियों से बात कर उचित करवाई करने का दिशा निर्देश दी।,https://www.instagram.com/p/C7iv1q1vvKz/,26939,6.3511111111,"[{'type': 'photo', 'url': 'https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/446822309_2699278686899781_6601084840450130658_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=18de74&_nc_ohc=Cm3OJDLK4FMQ7kNvgFs7D8i&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYCxnBbMs8ytFgKKZd6h6uk-vwC-bwU2uju_opDOcEkWzQ&oe=6660D0AC', 'height': 720, 'width': 960}]",False,hi,0,8063813|3378473066798445235,1420,9,222,3,8063813,Veena Devi,iveenadevi,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-19/299840913_1249254679155335_1284598036435125072_n.jpg?stp=dst-jpg_s150x150&_nc_cat=103&ccb=1-7&_nc_sid=3fd06f&_nc_ohc=c_tJ1XY4bIkQ7kNvgHhue5I&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AYD30_l7ehYRzihpSnBcQPXVoZ8IDDw-vfwOiIx1C4QG9w&oe=6661AC73,27300,https://www.instagram.com/iveenadevi/,Instagram,12906038168,True,,,bjps booth president shri santosh dubey ji was stabbed by criminals yesterday in vishanpura village of baruraj assembly under vaishali lok sabha constituencytoday he went to skmch and gave directions to get his efficient kshem and talk to the concerned officials,,-1,['../images\\image_113_0.jpg'],,,iveenadevi,LJSP,Left
